ticker,split,model,lookback,signature_level,forward,k_neighbors,signature_mmd,volatility,volatility_error,var_95,var_99,var_95_error,es_95,es_99,es_95_error,max_drawdown,max_drawdown_error,squared_return_acf_error,config_type
SPY,test,real,20,3,1,10,,0.15279137636447176,0.0,0.014453920831950543,0.02524865110988648,0.0,0.022708117540051833,0.03064650847983793,0.0,-0.07485798255192765,0.0,0.0,best_overall
SPY,test,historical_bootstrap,20,3,1,10,0.00045034662133878393,0.17774738868581086,0.024956012321339094,0.0165480653477423,0.03275146975983915,0.0020941445157917574,0.029044259973951502,0.04555678995154705,0.006336142433899669,-0.08992208132997967,0.015064098778052024,0.03546637395934649,best_overall
SPY,test,signature_bootstrap,20,3,1,10,0.00024238777257871102,0.14032573262686018,0.012465643737611581,0.01383727733124047,0.024379436066918038,0.0006166435007100741,0.021845324571050567,0.030592000575339784,0.0008627929690012658,-0.0731113389246667,0.0017466436272609437,0.027676080980234424,best_overall
EURUSD=X,test,real,20,3,1,10,,0.06989163324801978,0.0,0.006118467532101329,0.010251317710690865,0.0,0.009134935913810188,0.012440674835562448,0.0,-0.03703946195228099,0.0,0.0,best_overall
EURUSD=X,test,historical_bootstrap,20,3,1,10,0.0002707230840361555,0.077418519741797,0.007526886493777224,0.007145730311319926,0.01139383976015668,0.001027262779218597,0.010405850954854943,0.014607672577161713,0.0012709150410447553,-0.04727752570405904,0.010238063751778048,0.02581990589916066,best_overall
EURUSD=X,test,signature_bootstrap,20,3,1,10,1.2125677960573784e-05,0.07026438510785789,0.000372751859838108,0.0067116524690451485,0.009736318832956187,0.0005931849369438195,0.009168123944973405,0.012642491674277116,3.318803116321781e-05,-0.037371270792909736,0.0003318088406287431,0.024790775543177136,best_overall
