ticker,sector,sig_0,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10,sig_11,sig_12,sig_13,cluster,pca1,pca2,annualized_volatility,skewness,kurtosis,max_drawdown,average_rolling_volatility,daily_mean_return,annualized_mean_return
AAPL,Technology,1.0,0.017175786290971745,0.5,0.008610959426742755,0.00856482686422896,0.0030984312883169203,0.1666666666666733,0.002873729749726703,0.002863499927289356,0.001476338183054607,0.002850663468469807,0.00014724153320970284,0.0014748515720526202,1.7804194616527613e-05,1,2.1849043694377945,0.2902734129326722,0.2866971929742644,-0.0923625105142227,6.303134948656972,-0.3851592852457142,0.25932829733693735,0.0008895255456893041,0.22416043751370465
MSFT,Technology,1.0,0.016808840356524603,0.5,0.00845639643042566,0.00835244392609893,0.002106265810758308,0.1666666666666733,0.0028347273790161084,0.002786941672393461,0.0010593135587501443,0.002782751126852723,-2.0461729343032467e-05,0.0010674139813511975,2.2476449271062315e-05,1,1.1935925400848215,0.6866467270111981,0.27057778296071683,-0.17358677784961185,8.119495788415309,-0.3714848604350136,0.24455073933095353,0.0008228966560286171,0.2073699573192115
NVDA,Technology,1.0,0.04292297362818698,0.5,0.021525668474749047,0.02139730515343792,0.009090631693501936,0.1666666666666733,0.007194306111873393,0.007137056251002255,0.004350585575176455,0.007130124451217834,0.00039667098195077304,0.004343375136374705,0.00025188603894033673,2,12.151292538874676,1.3608182570759453,0.48005553051570415,0.13708258220745753,6.9281679289025675,-0.6633508611980949,0.4427233872103885,0.002130611450374574,0.5369140854943927
AMZN,Consumer Discretionary,1.0,0.020106150664054964,0.5,0.010015678074655688,0.010090472589399286,0.004008003010822447,0.1666666666666733,0.0033185607398272888,0.00337855659500111,0.001978999152236346,0.0033559579971990817,4.0066770261634076e-05,0.0019889370883244876,2.3898653378823282e-05,1,2.992778923370915,-0.1679675018443066,0.32718855486703463,0.1631242735190017,5.679780331500368,-0.5614526325328263,0.3001310957058682,0.0009949857654564427,0.2507364128950236
META,Communication Services,1.0,0.014954510636511851,0.5,0.007402922592968127,0.007551588043543662,0.004815539281200068,0.1666666666666733,0.0024582102347173044,0.0024865021235335343,0.002423193344980831,0.0025325429600050664,-2.3718576637963367e-05,0.0024160645128571967,-4.350761548819543e-05,1,1.8621955676906605,-1.844680929946221,0.3790243687372631,-1.0712417851761413,25.05112972826613,-0.7673609071218328,0.3348809016457698,0.0007192597277781373,0.1812534514000906
JPM,Financials,1.0,0.013995946926666471,0.5,0.007022589758657472,0.006973357168008998,0.0025137546857321703,0.1666666666666733,0.0023421517973166318,0.002338286164024218,0.0012730307927981332,0.002317535501992395,-3.4874655459398494e-05,0.0012755985483934335,-3.574680219666217e-05,1,0.5352660342464264,-0.4526867242520208,0.27020047933277425,-0.08090344341115269,12.799299501815431,-0.43626520350382914,0.23526592980414887,0.000660230192850004,0.166378008598201
BAC,Financials,1.0,0.009997139845089657,0.5,0.005034986584675263,0.004962153260414373,0.003754231387612012,0.1666666666666733,0.0016783363436090003,0.0016783138974572741,0.0018377637146985654,0.0016419196814785578,7.363129171655551e-05,0.0018428363811968868,-7.176889856894677e-05,0,0.4377329283505371,-1.693335281449011,0.30534585205652726,-0.13950394876931405,9.70105299184771,-0.489467931940315,0.270935635483309,0.0004539046218120782,0.1143839646966437
GS,Financials,1.0,0.013145545259618401,0.5,0.006638428559972768,0.006507116699645621,0.0034195069423696607,0.1666666666666733,0.0022258564616351676,0.0021867156367024365,0.0016636362193460485,0.0021602005314715943,9.027074564091123e-05,0.0016655999773827097,-7.454280436752125e-06,1,1.2318514363459,-0.4997858597860407,0.29182593101484944,-0.11916683068168768,8.829222712362345,-0.48748796663083904,0.2623241272069289,0.0006487876738098703,0.16349449380008732
MS,Financials,1.0,0.014026342404008154,0.5,0.007086272216645911,0.006940070187362264,0.003918018909357874,0.1666666666666733,0.0023735399872954247,0.00233919224205506,0.001897261563974261,0.0023004389726535984,0.00012062414465058622,0.001900133200733034,-5.707112631154129e-05,0,1.560824286033317,-1.336467801202425,0.3124630126281098,-0.03695576350427308,10.757996090560113,-0.5132582722617482,0.27956509667622076,0.000683503294306283,0.17224283016518332
XOM,Energy,1.0,0.006983322030722292,0.5,0.0035180659730818828,0.0034652560576404075,0.0030384878880955713,0.1666666666666733,0.001179002529502411,0.0011600609140770617,0.0014606148641107056,0.0011525975717816721,0.00011796348967871798,0.0014599095343061543,-6.573967897539873e-05,0,-0.4163090176607915,-1.2860576380459896,0.2753863852660845,-0.20153270825389832,6.155991459618459,-0.6134247853695232,0.24366599489960722,0.0003483434129684271,0.08778254006804363
