ticker,split,model,lookback,signature_level,forward,k_neighbors,signature_mmd,volatility,volatility_error,var_95,var_99,var_95_error,es_95,es_99,es_95_error,max_drawdown,max_drawdown_error,squared_return_acf_error
SPY,validation,real,20,2,1,5,,0.18777849196639282,0.0,0.019493196967476346,0.02532593439381509,0.0,0.024085134516023936,0.028244347110469803,0.0,-0.10531734404489251,0.0,0.0
SPY,validation,historical_bootstrap,20,2,1,5,0.0014328414392635552,0.17774738868581086,0.01003110328058196,0.0165480653477423,0.03275146975983915,0.0029451316197340455,0.029044259973951502,0.04555678995154705,0.004959125457927566,-0.08992208132997967,0.015395262714912844,0.03688446274931155
SPY,validation,signature_bootstrap,20,2,1,5,0.0009867112968894355,0.1582308177889582,0.02954767417743462,0.015891091706606925,0.027260115443862244,0.003602105260869421,0.024828044071149857,0.03295452678728319,0.0007429095551259209,-0.08122151209329061,0.024095831951601906,0.04293773908451036
EURUSD=X,validation,real,20,2,1,5,,0.08520625322480384,0.0,0.008679789401987669,0.011764545268720738,0.0,0.011057507353115847,0.013384970437742678,0.0,-0.05456861125310367,0.0,0.0
EURUSD=X,validation,historical_bootstrap,20,2,1,5,7.330373065751831e-05,0.077418519741797,0.007787733483006834,0.007145730311319926,0.01139383976015668,0.0015340590906677432,0.010405850954854943,0.014607672577161713,0.0006516563982609039,-0.04727752570405906,0.007291085549044611,0.027644243793049784
EURUSD=X,validation,signature_bootstrap,20,2,1,5,6.127218600940365e-05,0.07467648643509271,0.010529766789711126,0.007108929433357064,0.011202546187111988,0.0015708599686306054,0.010386629803730178,0.014922454888475758,0.0006708775493856692,-0.043978701818411146,0.010589909434692527,0.023942792499944583
SPY,validation,real,20,2,1,10,,0.18777849196639282,0.0,0.019493196967476346,0.02532593439381509,0.0,0.024085134516023936,0.028244347110469803,0.0,-0.10531734404489251,0.0,0.0
SPY,validation,historical_bootstrap,20,2,1,10,0.0014328414392635552,0.17774738868581086,0.01003110328058196,0.0165480653477423,0.03275146975983915,0.0029451316197340455,0.029044259973951502,0.04555678995154705,0.004959125457927566,-0.08992208132997967,0.015395262714912844,0.03688446274931155
SPY,validation,signature_bootstrap,20,2,1,10,0.0013218061983157735,0.14818075302576136,0.039597738940631455,0.015293172459242629,0.025060202446623887,0.004200024508233717,0.022804943663192762,0.030073137482481648,0.0012801908528311742,-0.07915564139066467,0.026161702654227847,0.036959644844539764
EURUSD=X,validation,real,20,2,1,10,,0.08520625322480384,0.0,0.008679789401987669,0.011764545268720738,0.0,0.011057507353115847,0.013384970437742678,0.0,-0.05456861125310367,0.0,0.0
